"","X","id","source","pmid","pmcid","doi","title","authorString","journalTitle","issue","journalVolume","pubYear","journalIssn","pageInfo","pubType","isOpenAccess","inEPMC","inPMC","hasPDF","hasBook","hasSuppl","citedByCount","hasReferences","hasTextMinedTerms","hasDbCrossReferences","hasLabsLinks","hasTMAccessionNumbers","firstIndexDate","firstPublicationDate"
"503",503,32312584,"MED",32312584,"PMC7152882","10.1016/j.bjoms.2020.04.002","Operating during the COVID-19 pandemic: How to reduce medical error.","Ellis R, Hay-David AGC, Brennan PA.","Br J Oral Maxillofac Surg","5","58",2020,"0266-4356; 1532-1940; ","577-580","research-article; journal article","Y","Y","N","Y","N","N",15,"Y","Y","N","Y","N","2020-04-24","2020-04-13"
"358",358,32460440,"MED",32460440,"PMC7283773","10.1111/odi.13442","Digital prosthetic workflow during COVID-19 pandemic to limit infection risk in dental practice.","Papi P, Di Murro B, Penna D, Pompa G.","Oral Dis",NA,"27 Suppl 3",2021,"1354-523x; 1601-0825; ","723-726","brief-report; journal article","Y","Y","N","Y","N","N",6,"Y","Y","N","Y","N","2020-05-28","2020-06-16"
"624",624,32738815,"MED",32738815,"PMC7436400","10.1002/jdd.12358","Remote learning in a periodontal workshop during the COVID-19 pandemic.","Iyer P, Chin L, Lundergan W.","J Dent Educ",NA,NA,2020,"0022-0337; 1930-7837; ",NA,"research-article; journal article","Y","Y","N","Y","N","N",2,"Y","Y","N","N","N","2020-08-09","2020-08-01"
"470",470,32472974,"MED",32472974,"PMC7300727","10.1111/odi.13444","COVID-19's impact on private practice and academic dentistry in North America.","Wu KY, Wu DT, Nguyen TT, Tran SD.","Oral Dis",NA,"27 Suppl 3",2021,"1354-523x; 1601-0825; ","684-687","review-article; review; journal article","Y","Y","N","Y","N","N",11,"Y","Y","N","Y","N","2020-05-31","2020-06-16"
"516",516,34046944,"MED",34046944,"PMC8242462","10.1111/ipd.12843","Lockdown impact on lifestyle and its association with oral parafunctional habits and bruxism in a Spanish adolescent population.","Carrillo-Diaz M, Ortega-Martínez AR, Romero-Maroto M, González-Olmo MJ.","Int J Paediatr Dent",NA,NA,2021,"0960-7439; 1365-263x; ",NA,"research-article; journal article","Y","Y","N","Y","N","N",1,"Y","Y","N","N","N","2021-05-29","2021-05-28"
"98",98,33635555,"MED",33635555,"PMC8014326","10.1002/jdd.12583","Rapid redesign and implementation of new preclinic and clinic scheduled model during COVID-19.","Siqueira MF, Brothwell D, Heinrichs A, Siqueira WL.","J Dent Educ",NA,"85 Suppl 3",2021,"0022-0337; 1930-7837; ","1980-1981","research-article; journal article","Y","Y","N","Y","N","N",1,"Y","Y","N","Y","N","2021-02-27","2021-03-04"
"7",7,34587930,"MED",34587930,"PMC8479009","10.1186/s12903-021-01831-6","Acceptance of COVID-19 vaccination and its determinants among Lebanese dentists: a cross-sectional study.","Nasr L, Saleh N, Hleyhel M, El-Outa A, Noujeim Z.","BMC Oral Health","1","21",2021,"1472-6831","484","research-article; journal article","Y","Y","N","Y","N","N",1,"Y","Y","N","Y","N","2021-10-01","2021-09-29"
"183",183,33377282,"MED",33377282,"PMC8204036","10.1002/cre2.383","Urgent dental care on a national level during the COVID-19 epidemic.","Ostrc T, Pavlovic K, Fidler A.","Clin Exp Dent Res","3","7",2021,"2057-4347","271-278","research-article; journal article","Y","Y","N","Y","N","N",3,"Y","Y","N","Y","N","2020-12-31","2020-12-29"
"299",299,32506779,"MED",32506779,"PMC7300564","10.1111/odi.13459","Concerns and fears of Indian dentists on professional practice during the coronavirus disease 2019 (COVID-19) pandemic.","Kinariwala N, Samaranayake LP, Perera I, Patel Z.","Oral Dis",NA,"27 Suppl 3",2021,"1354-523x; 1601-0825; ","730-732","brief-report; journal article","Y","Y","N","Y","N","N",10,"Y","Y","N","Y","N","2020-06-08","2020-07-03"
"504",504,32367576,"MED",32367576,"PMC7267240","10.1111/omi.12289","Saliva is a non-negligible factor in the spread of COVID-19.","Li Y, Ren B, Peng X, Hu T, Li J, Gong T, Tang B, Xu X, Zhou X.","Mol Oral Microbiol","4","35",2020,"2041-1006; 2041-1014; ","141-145","research support, non-u.s. gov't; research-article; review; journal article","Y","Y","N","Y","N","N",44,"Y","Y","N","Y","N","2020-05-06","2020-05-31"
