Name,Abbreviation,ISSN (Electronic),ISSN (Print),ISSN (Undetermined),ISSN (Linking),Primary ISSN,2020 JIF
Minerva dental and oral science,Minerva Dent Oral Sci,2724-6337,2724-6329,,2724-6329,2724-6329,NA
"International journal of oral implantology (Berlin, Germany)",Int J Oral Implantol (Berl),2631-6439,2631-6420,,2631-6420,2631-6420,NA
"Journal of stomatology, oral and maxillofacial surgery",J Stomatol Oral Maxillofac Surg,2468-7855,2468-8509,,2468-7855,2468-7855,1.569
European endodontic journal,Eur Endod J,2548-0839,,,2548-0839,2548-0839,NA
JDR clinical and translational research,JDR Clin Trans Res,2380-0852,2380-0844,,2380-0844,2380-0844,NA
Clinical and experimental dental research,Clin Exp Dent Res,2057-4347,,,2057-4347,2057-4347,NA
International journal of implant dentistry,Int J Implant Dent,,,2198-4034,2198-4034,2198-4034,2.384
The international journal of esthetic dentistry,Int J Esthet Dent,,,2198-591X,,2198-591X,NA
Journal of oral & facial pain and headache,J Oral Facial Pain Headache,2333-0376,2333-0384,,,2333-0376,1.871
Swiss dental journal,Swiss Dent J,2296-6501,2296-6498,,2296-6498,2296-6498,NA
Journal of the World federation of orthodontists,J World Fed Orthod,,,2212-4438,2212-4438,2212-4438,NA
"Oral surgery, oral medicine, oral pathology and oral radiology",Oral Surg Oral Med Oral Pathol Oral Radiol,2212-4411,2212-4403,,,2212-4411,2.589
Primary dental journal,Prim Dent J,2050-1692,2050-1684,,2050-1684,2050-1684,NA
Clinical advances in periodontics,Clin Adv Periodontics,2163-0097,2573-8046,,2163-0097,2163-0097,NA
Dental press journal of orthodontics,Dental Press J Orthod,2177-6709,2176-9451,,2176-9451,2176-9451,NA
Molecular oral microbiology,Mol Oral Microbiol,2041-1014,2041-1006,,2041-1006,2041-1006,3.563
International journal of oral science,Int J Oral Sci,2049-3169,1674-2818,,1674-2818,1674-2818,6.344
Journal of prosthodontic research,J Prosthodont Res,2212-4632,1883-1958,,1883-1958,1883-1958,4.642
Oral and maxillofacial surgery,Oral Maxillofac Surg,1865-1569,1865-1550,,1865-1550,1865-1550,NA
European archives of paediatric dentistry : official journal of the European Academy of Paediatric Dentistry,Eur Arch Paediatr Dent,1996-9805,1818-6300,,1818-6300,1818-6300,NA
Head & face medicine,Head Face Med,,,1746-160X,1746-160X,1746-160X,2.151
Brazilian oral research,Braz Oral Res,1807-3107,1806-8324,,1806-8324,1806-8324,NA
Canadian journal of dental hygiene : CJDH = Journal canadien de l'hygiène dentaire : JCHD,Can J Dent Hyg,1712-1728,1712-171X,,1712-171X,1712-171X,NA
