"","pmid","pmcid_pmc","pmcid_uid","doi","filename","is_relevant_data","is_relevant_code","article","is_open_data","open_data_category","is_open_code","open_data_statements","open_code_statements","is_success"
"1","32094336","","7039956","10.1038/s41368-020-0074-x","PMC 7039956.xml",TRUE,TRUE,"10.1038/s41368-020-0074-x",FALSE,"",FALSE,"","",TRUE
"2","32127517","","7054527","10.1038/s41368-020-0075-9","PMC 7054527.xml",TRUE,TRUE,"10.1038/s41368-020-0075-9",FALSE,"",FALSE,"","",TRUE
"3","32246280","","7118209","10.1007/s00784-020-03267-8","PMC 7118209.xml",TRUE,TRUE,"10.1007/s00784-020-03267-8",FALSE,"",FALSE,"","",TRUE
"4","32303420","","7128256","10.1016/j.jcms.2020.03.011","PMC 7128256.xml",TRUE,FALSE,"10.1016/j.jcms.2020.03.011",FALSE,"",FALSE,"","",TRUE
"5","32265088","","7132499","10.1016/j.ijom.2020.03.015","PMC 7132499.xml",TRUE,TRUE,"10.1016/j.ijom.2020.03.015",FALSE,"",FALSE,"","",TRUE
"6","32162995","","7140973","10.1177/0022034520914246","PMC 7140973.xml",TRUE,TRUE,"10.1177/0022034520914246",FALSE,"",FALSE,"","",TRUE
"7","32276721","","7141474","10.1016/j.adaj.2020.03.038","PMC 7141474.xml",TRUE,TRUE,"10.1016/j.adaj.2020.03.038",FALSE,"",FALSE,"","",TRUE
"8","32302529","","7144600","10.1016/j.joms.2020.03.036","PMC 7144600.xml",TRUE,FALSE,"10.1016/j.joms.2020.03.036",FALSE,"",FALSE,"","",TRUE
"9","32360053","","7151235","10.1016/j.joen.2020.04.001","PMC 7151235.xml",TRUE,TRUE,"10.1016/j.joen.2020.04.001",FALSE,"",FALSE,"","",TRUE
"10","32349902","","7151269","10.1016/j.bjoms.2020.03.024","PMC 7151269.xml",TRUE,FALSE,"10.1016/j.bjoms.2020.03.024",FALSE,"",FALSE,"","",TRUE
"11","32312585","","7151369","10.1016/j.bjoms.2020.04.003","PMC 7151369.xml",TRUE,TRUE,"10.1016/j.bjoms.2020.04.003",FALSE,"",FALSE,"","",TRUE
"12","32302530","","7151518","10.1016/j.joms.2020.04.004","PMC 7151518.xml",TRUE,FALSE,"10.1016/j.joms.2020.04.004",FALSE,"",FALSE,"","",TRUE
"13","32312584","","7152882","10.1016/j.bjoms.2020.04.002","PMC 7152882.xml",TRUE,FALSE,"10.1016/j.bjoms.2020.04.002",FALSE,"",FALSE,"","",TRUE
"14","32321662","","7161483","10.1016/j.bjoms.2020.04.008","PMC 7161483.xml",TRUE,FALSE,"10.1016/j.bjoms.2020.04.008",FALSE,"",FALSE,"","",TRUE
"15","32300101","","7162686","10.1038/s41368-020-0080-z","PMC 7162686.xml",TRUE,TRUE,"10.1038/s41368-020-0080-z",FALSE,"",FALSE,"","",TRUE
"16","32336398","","7180017","10.1016/j.bjoms.2020.03.001","PMC 7180017.xml",TRUE,FALSE,"10.1016/j.bjoms.2020.03.001",FALSE,"",FALSE,"","",TRUE
"17","32332959","","7180661","10.1038/s41415-020-1548-0","PMC 7180661.xml",TRUE,FALSE,"10.1038/s41415-020-1548-0",FALSE,"",FALSE,"","",TRUE
"18","32332957","","7180663","10.1038/s41415-020-1547-1","PMC 7180663.xml",TRUE,FALSE,"10.1038/s41415-020-1547-1",FALSE,"",FALSE,"","",TRUE
"19","32386671","","7183988","10.1016/j.bjoms.2020.04.025","PMC 7183988.xml",TRUE,FALSE,"10.1016/j.bjoms.2020.04.025",FALSE,"",FALSE,"","",TRUE
"20","32404268","","7194067","10.1016/j.joms.2020.04.040","PMC 7194067.xml",TRUE,TRUE,"10.1016/j.joms.2020.04.040",FALSE,"",FALSE,"","",TRUE
"21","32302531","","7194617","10.1016/j.joms.2020.03.045","PMC 7194617.xml",TRUE,TRUE,"10.1016/j.joms.2020.03.045",FALSE,"",FALSE,"","",TRUE
"22","32389541","","7194827","10.1016/j.joms.2020.04.034","PMC 7194827.xml",TRUE,FALSE,"10.1016/j.joms.2020.04.034",FALSE,"",FALSE,"","",TRUE
"23","32371146","","7195013","10.1016/j.joms.2020.04.033","PMC 7195013.xml",TRUE,FALSE,"10.1016/j.joms.2020.04.033",FALSE,"",FALSE,"","",TRUE
"24","32304660","","7195286","10.1016/j.joms.2020.04.016","PMC 7195286.xml",TRUE,FALSE,"10.1016/j.joms.2020.04.016",FALSE,"",FALSE,"","",TRUE
"25","32414678","","7196383","10.1016/j.ijom.2020.04.015","PMC 7196383.xml",TRUE,FALSE,"10.1016/j.ijom.2020.04.015",FALSE,"",FALSE,"","",TRUE
"26","32414539","","7196423","10.1016/j.bjoms.2020.04.035","PMC 7196423.xml",TRUE,TRUE,"10.1016/j.bjoms.2020.04.035",FALSE,"",FALSE,"","",TRUE
"27","32418760","","7200369","10.1016/j.bjoms.2020.04.043","PMC 7200369.xml",TRUE,FALSE,"10.1016/j.bjoms.2020.04.043",FALSE,"",FALSE,"","",TRUE
"28","32382932","","7203724","10.1007/s00784-020-03291-8","PMC 7203724.xml",TRUE,FALSE,"10.1007/s00784-020-03291-8",FALSE,"",FALSE,"","",TRUE
